account,account_label,account_level_1,account_level_2,account_level_3,account_level_4,account_level_5,account_level_6,account_description,account_level
131014,Stakewise osETH,1 - Assets,13 - Liquid Investments,131 - Liquid Investments,131014 - Stakewise osETH,,,,4
131015,Stakewise Genesis ETH,1 - Assets,13 - Liquid Investments,131 - Liquid Investments,131014 - Stakewise Genesis ETH,,,,4
2,Liabilities,2 - Liabilities,,,,,,,1
21,Unearned earnings,2 - Liabilities,21 - Unearned earnings,,,,,,2
211,Unearned registration,2 - Liabilities,21 - Unearned earnings,211 - Unearned registration,,,,,3
212,Unearned renewals,2 - Liabilities,21 - Unearned earnings,212 - Unearned renewals,,,,,3
3,Equity,3 - Capital,,,,,,,1
31,Paid in capital,3 - Capital,31 - Paid in capital,,,,,,2
311,Capital raised,3 - Capital,31 - Paid in capital,311 - Capital raised,,,,When issued again some asset,3
312,Issued as payment,3 - Capital,31 - Paid in capital,312 - Issued as payment,,,,When there is no corresponding asset,3
